zone_id,latitude,longitude,geological_score,ndvi,rainfall_mm,soil_moisture_pct,temperature_c,equipment_downtime_hrs,target_production,actual_production,shortfall_risk
ZONE-A (Dongri Buzurg),21.53,79.68,81.5,0.334,22.3,29.4,31.7,28.1,37564.0,22538.0,HIGH
ZONE-E (Kandri),21.42,79.27,54.7,0.245,4.2,22.9,32.7,15.3,41524.0,31341.0,HIGH
ZONE-F (Mansar),21.4,79.28,63.1,0.355,46.9,42.8,30.1,10.4,42135.0,35129.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,71.3,0.371,67.8,52.8,30.5,29.3,38748.0,23249.0,HIGH
ZONE-E (Kandri),21.42,79.27,55.3,0.213,1.2,24.6,41.0,16.3,41985.0,31002.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,55.5,0.289,36.8,35.1,32.1,8.6,39715.0,34268.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,71.6,0.287,22.8,30.1,26.4,18.4,44836.0,31647.0,HIGH
ZONE-F (Mansar),21.4,79.28,75.9,0.325,45.4,44.0,30.5,16.5,38177.0,28085.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,78.2,0.246,22.1,33.2,30.8,24.7,44126.0,26719.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,60.8,0.334,38.6,41.0,29.0,12.1,36312.0,29283.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,33.3,0.314,10.9,26.3,36.5,7.1,42638.0,37802.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,94.1,0.433,84.1,61.8,40.1,19.7,38853.0,26628.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,71.0,0.267,21.9,28.3,28.6,30.2,42088.0,25253.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,75.9,0.186,3.9,20.7,36.4,14.1,40556.0,31395.0,HIGH
ZONE-F (Mansar),21.4,79.28,57.5,0.216,2.6,18.2,33.6,11.2,41497.0,34094.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,55.2,0.366,22.5,34.0,39.7,9.2,39947.0,34086.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,67.3,0.311,17.7,25.6,39.1,24.5,36267.0,22054.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,33.9,0.251,1.6,23.8,28.6,31.0,42038.0,25223.0,HIGH
ZONE-E (Kandri),21.42,79.27,52.7,0.299,32.8,38.4,41.3,9.2,36536.0,31167.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,70.4,0.304,40.6,37.2,33.3,6.6,42761.0,38226.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,89.0,0.262,18.1,32.7,32.6,28.6,41388.0,24833.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.4,0.344,35.4,36.7,40.0,8.3,36598.0,31734.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,65.0,0.254,5.4,22.3,30.7,53.9,37107.0,22264.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,80.7,0.263,8.5,29.2,27.1,24.6,36699.0,22239.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,83.1,0.319,12.8,24.7,38.8,15.7,39879.0,29849.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,44.8,0.261,30.5,39.0,37.3,6.1,39875.0,35991.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,79.7,0.19,1.6,21.6,32.1,17.2,43624.0,31585.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,61.1,0.44,64.5,55.1,27.7,5.4,37880.0,34588.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,37.8,0.332,17.2,26.7,30.6,12.2,41426.0,33345.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,63.2,0.282,27.6,33.2,28.4,52.9,38222.0,22933.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,37.4,0.306,15.4,29.1,28.8,40.5,43476.0,26086.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,83.8,0.287,14.9,22.4,33.1,11.3,44945.0,36840.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,74.7,0.256,12.5,29.9,33.4,7.8,42398.0,37117.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,64.8,0.321,9.0,25.1,39.9,15.9,43148.0,32161.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,80.1,0.314,22.0,30.0,27.5,12.5,40423.0,32308.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,42.9,0.307,8.0,21.2,34.2,10.8,42881.0,35498.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,64.4,0.37,57.5,44.5,27.0,12.9,38163.0,30267.0,HIGH
ZONE-F (Mansar),21.4,79.28,78.3,0.292,10.4,28.5,38.2,6.8,41800.0,37269.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,68.9,0.337,57.1,47.5,41.3,7.8,36129.0,31593.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,84.7,0.261,14.6,30.0,26.1,14.7,43960.0,33589.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,33.5,0.316,33.3,36.9,27.2,6.7,39139.0,34967.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,38.2,0.372,35.0,35.2,26.1,19.9,37016.0,25239.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,56.5,0.355,55.4,48.1,27.2,13.7,38529.0,30057.0,HIGH
ZONE-F (Mansar),21.4,79.28,74.4,0.296,5.8,19.5,34.8,15.6,37691.0,28264.0,HIGH
ZONE-F (Mansar),21.4,79.28,59.2,0.299,21.2,27.6,36.2,28.0,38729.0,23237.0,HIGH
ZONE-F (Mansar),21.4,79.28,69.9,0.287,29.0,32.2,28.5,32.2,38444.0,23066.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,80.6,0.277,13.4,29.3,26.7,12.9,43554.0,34552.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,72.8,0.285,14.6,27.2,39.9,5.7,44427.0,40346.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,40.1,0.255,3.3,16.7,32.2,39.5,41997.0,25198.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,93.4,0.284,11.4,21.9,41.1,7.1,44995.0,39874.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,79.4,0.281,15.6,25.4,32.9,19.1,39328.0,27331.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,75.7,0.394,68.6,46.0,32.7,4.5,42574.0,39541.0,LOW
ZONE-F (Mansar),21.4,79.28,73.4,0.296,8.5,22.5,30.7,32.9,38841.0,23304.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,73.1,0.243,1.9,24.1,35.3,39.2,43410.0,26046.0,HIGH
ZONE-F (Mansar),21.4,79.28,65.6,0.323,25.4,30.2,26.2,9.0,40436.0,34630.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,77.1,0.301,26.5,27.9,33.4,13.1,38807.0,30652.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,71.5,0.259,10.9,25.8,39.7,10.3,39310.0,32862.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,53.1,0.275,10.8,22.1,31.6,32.0,43624.0,26174.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,83.4,0.317,27.7,32.7,30.7,26.1,41430.0,24858.0,HIGH
ZONE-E (Kandri),21.42,79.27,54.4,0.325,48.2,42.3,41.3,12.6,36680.0,29262.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,76.4,0.289,8.0,23.8,40.3,30.4,44835.0,26901.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,71.2,0.249,17.2,24.0,31.5,22.0,44011.0,28501.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,81.0,0.345,41.0,31.1,34.0,14.8,38717.0,29529.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,60.8,0.33,9.7,22.2,27.2,13.1,40919.0,32369.0,HIGH
ZONE-E (Kandri),21.42,79.27,47.6,0.326,21.5,35.2,33.7,14.7,44955.0,34401.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,57.6,0.386,67.3,51.9,30.2,16.2,41601.0,30847.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,65.0,0.267,0.5,20.9,31.7,20.9,44703.0,29736.0,HIGH
ZONE-E (Kandri),21.42,79.27,54.2,0.363,67.4,49.8,29.7,24.6,41428.0,25105.0,HIGH
ZONE-E (Kandri),21.42,79.27,48.8,0.269,0.3,21.8,29.7,11.3,43632.0,35777.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,54.9,0.254,10.2,20.3,40.3,3.9,40334.0,37810.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,43.0,0.292,17.4,22.0,41.2,14.4,38259.0,29460.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,74.0,0.343,29.9,31.1,40.4,10.7,38058.0,31525.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,92.4,0.251,6.7,25.7,41.2,20.1,40650.0,27608.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,68.4,0.372,64.1,42.6,40.5,5.5,43408.0,39622.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,70.1,0.31,24.1,28.7,29.0,4.5,36640.0,34028.0,LOW
ZONE-D (Gumgaon),21.38,79.03,69.0,0.271,12.2,27.3,27.5,24.4,43423.0,26445.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,63.3,0.343,73.0,57.7,32.8,16.0,36000.0,26765.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,81.9,0.295,2.2,19.0,29.2,6.9,43945.0,39108.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,60.9,0.378,45.7,39.7,39.6,21.7,42414.0,27703.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,40.9,0.261,11.1,20.2,42.0,7.0,40882.0,36306.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,73.0,0.328,16.8,24.5,26.3,9.0,41656.0,35635.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,67.9,0.224,10.8,25.4,37.4,21.3,40580.0,26727.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,69.0,0.465,125.7,72.7,28.9,11.5,37126.0,24252.0,HIGH
ZONE-E (Kandri),21.42,79.27,53.1,0.414,69.2,52.0,29.1,8.3,42544.0,36911.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,47.6,0.384,102.9,69.4,28.6,12.3,36227.0,23255.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.5,0.274,4.6,27.9,39.5,27.4,42356.0,25413.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,82.6,0.489,119.4,85.4,37.5,8.0,40974.0,28585.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,77.1,0.274,9.0,21.9,36.8,15.1,40514.0,30701.0,HIGH
ZONE-F (Mansar),21.4,79.28,64.6,0.355,34.3,33.2,40.5,15.4,40940.0,30822.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.6,0.274,17.3,28.4,41.0,4.7,38224.0,35377.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,84.4,0.328,11.8,29.1,31.3,8.0,41776.0,36418.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,66.4,0.35,46.3,40.2,38.6,10.1,44794.0,37577.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,50.9,0.49,123.5,74.5,37.8,6.4,39579.0,28407.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,32.3,0.366,32.6,30.9,36.1,14.1,41358.0,32040.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,45.0,0.253,2.8,23.0,27.5,14.7,38407.0,29367.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,65.2,0.365,42.6,44.2,33.2,2.1,38246.0,36953.0,LOW
ZONE-B (Tirodi Mine),21.68,79.71,66.2,0.407,70.4,61.8,29.2,16.2,39673.0,29361.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,85.9,0.286,17.0,32.4,41.0,20.5,42655.0,28676.0,HIGH
ZONE-F (Mansar),21.4,79.28,57.1,0.488,132.0,85.3,38.0,11.8,39910.0,25902.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,86.8,0.349,20.2,27.3,37.2,18.4,36450.0,25735.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.4,0.227,0.5,22.3,30.3,7.8,42595.0,37275.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,61.7,0.262,31.8,31.5,31.3,27.8,38550.0,23130.0,HIGH
ZONE-F (Mansar),21.4,79.28,65.7,0.235,17.7,18.3,41.8,13.8,37856.0,29476.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,36.0,0.281,27.1,38.1,40.3,4.2,41672.0,38859.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,34.8,0.321,35.6,41.8,34.6,27.8,40501.0,24300.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,41.6,0.326,32.0,40.0,32.5,4.5,36103.0,33500.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,86.3,0.263,10.5,20.7,27.1,10.7,43327.0,35922.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,70.8,0.288,20.7,30.7,34.9,21.2,43854.0,28997.0,HIGH
ZONE-E (Kandri),21.42,79.27,57.9,0.241,12.9,26.4,34.1,4.3,40528.0,37744.0,LOW
ZONE-F (Mansar),21.4,79.28,65.8,0.31,25.8,23.1,31.5,15.0,38663.0,29372.0,HIGH
ZONE-E (Kandri),21.42,79.27,55.5,0.264,18.5,28.2,33.8,30.9,40787.0,24472.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.6,0.292,25.3,33.0,31.7,17.1,41470.0,30106.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.9,0.238,6.4,16.8,31.4,6.6,39733.0,35558.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,68.4,0.345,19.6,29.0,37.2,16.8,43835.0,32085.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,64.2,0.256,0.8,20.4,33.9,15.8,40611.0,30313.0,HIGH
ZONE-E (Kandri),21.42,79.27,52.0,0.281,17.4,27.7,34.1,14.6,41046.0,31442.0,HIGH
ZONE-E (Kandri),21.42,79.27,51.0,0.287,8.8,20.9,37.7,16.4,43868.0,32343.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,77.7,0.329,23.2,37.0,33.2,8.2,39490.0,34297.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,61.9,0.404,81.2,56.3,34.7,23.2,36667.0,23054.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,57.8,0.278,25.2,29.1,37.7,12.2,39325.0,31655.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,39.6,0.344,37.4,42.7,33.7,5.3,40936.0,37452.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,87.1,0.354,30.4,36.4,34.3,1.6,36132.0,35194.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,38.8,0.296,33.9,38.4,29.1,18.3,42828.0,30321.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,33.2,0.306,19.9,29.8,34.7,17.0,42415.0,30884.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.9,0.295,7.2,16.4,39.9,15.7,41262.0,30906.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,56.5,0.299,16.9,34.0,38.7,24.4,44452.0,27104.0,HIGH
ZONE-F (Mansar),21.4,79.28,72.1,0.307,8.9,27.6,33.4,14.0,36568.0,28356.0,HIGH
ZONE-E (Kandri),21.42,79.27,46.4,0.389,59.0,48.6,29.0,20.9,39891.0,26534.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,87.1,0.277,21.8,35.6,40.2,3.5,43054.0,40641.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,82.7,0.4,79.9,57.4,40.4,20.6,38241.0,25640.0,HIGH
ZONE-F (Mansar),21.4,79.28,57.7,0.354,42.9,40.6,26.1,24.5,38863.0,23602.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,31.1,0.288,0.8,22.9,35.1,8.4,36129.0,31271.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,57.3,0.393,86.9,61.9,28.1,25.5,39515.0,18967.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,71.8,0.567,163.6,87.5,37.3,32.3,44354.0,21290.0,HIGH
ZONE-F (Mansar),21.4,79.28,72.4,0.328,16.3,21.7,33.5,29.0,40151.0,24090.0,HIGH
ZONE-F (Mansar),21.4,79.28,69.7,0.311,31.5,34.1,36.8,8.0,37506.0,32680.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,56.2,0.259,2.0,20.2,27.1,13.5,39724.0,31154.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,72.0,0.213,1.5,23.1,41.2,44.4,40094.0,24056.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,62.3,0.448,113.5,66.0,32.4,63.1,44292.0,21260.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,62.3,0.35,47.2,43.4,37.2,6.9,41547.0,36943.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,62.1,0.338,37.7,36.5,40.2,10.2,43224.0,36160.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,35.4,0.286,7.8,27.5,35.6,5.9,39919.0,36147.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,70.5,0.363,59.4,43.3,27.1,7.5,38417.0,33833.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,60.0,0.292,2.7,15.0,41.8,1.0,41675.0,41008.0,LOW
ZONE-E (Kandri),21.42,79.27,50.5,0.257,9.3,22.2,31.7,8.5,39084.0,33756.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,67.8,0.314,23.2,31.8,38.9,2.7,37297.0,35658.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,45.2,0.254,0.1,30.8,33.1,12.1,38537.0,31059.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,59.8,0.309,21.5,26.7,36.7,33.5,40842.0,24505.0,HIGH
ZONE-E (Kandri),21.42,79.27,49.1,0.56,159.3,94.9,29.1,22.0,40349.0,20925.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.9,0.331,37.6,43.7,28.0,10.8,44130.0,36491.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,44.1,0.47,105.9,57.1,35.3,4.8,40974.0,30279.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,81.6,0.325,47.4,44.0,39.7,9.8,39659.0,33460.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,64.9,0.362,32.4,39.3,31.9,40.5,42565.0,25539.0,HIGH
ZONE-E (Kandri),21.42,79.27,49.4,0.377,55.6,48.0,29.5,6.1,38369.0,34603.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,53.9,0.301,34.2,37.5,32.0,14.2,37796.0,29217.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,66.4,0.29,9.5,17.6,38.6,14.7,42844.0,32787.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,87.4,0.33,42.6,45.3,37.3,19.1,36409.0,25262.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,71.3,0.323,25.0,34.3,34.2,15.0,43553.0,33102.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,82.3,0.338,55.6,51.9,31.4,20.1,37702.0,25556.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.6,0.3,6.7,23.3,32.3,9.2,38132.0,32547.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,50.3,0.343,67.9,48.8,38.0,5.7,39767.0,36128.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,86.2,0.315,14.1,24.5,36.5,34.6,41397.0,24838.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,76.8,0.315,47.0,35.2,41.4,6.1,41604.0,37531.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,68.2,0.34,55.4,49.1,31.0,9.5,44451.0,37689.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,61.0,0.445,92.4,61.7,28.4,5.3,38220.0,27998.0,HIGH
ZONE-F (Mansar),21.4,79.28,64.1,0.262,2.2,10.0,30.4,20.5,44474.0,29876.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,81.0,0.27,0.2,18.7,32.6,5.4,42220.0,38560.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,80.0,0.295,20.3,31.5,35.7,13.7,40372.0,31528.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,77.4,0.216,11.9,27.0,35.5,12.4,39096.0,31337.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,75.4,0.368,30.5,34.1,32.6,15.0,36889.0,28012.0,HIGH
ZONE-E (Kandri),21.42,79.27,46.8,0.339,21.8,27.0,26.5,19.1,37553.0,26091.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.1,0.3,48.3,42.0,32.8,16.6,37041.0,27182.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,72.8,0.287,41.2,36.9,35.8,11.0,43412.0,35743.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,76.5,0.26,2.8,25.4,28.5,14.7,43511.0,33244.0,HIGH
ZONE-F (Mansar),21.4,79.28,69.9,0.382,85.4,59.2,28.2,15.5,38482.0,23149.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,36.8,0.235,0.6,23.1,32.7,15.1,38248.0,29009.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,31.9,0.327,37.4,38.5,37.4,17.4,41515.0,29984.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.0,0.284,1.6,19.9,29.7,28.9,44093.0,26456.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,61.9,0.226,3.9,14.3,36.8,2.7,37636.0,35984.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,33.1,0.255,1.0,17.7,37.4,3.7,43528.0,40968.0,LOW
ZONE-D (Gumgaon),21.38,79.03,80.3,0.465,86.9,54.6,32.5,30.2,39856.0,19131.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,70.0,0.3,20.5,30.6,26.1,20.8,42913.0,28600.0,HIGH
ZONE-F (Mansar),21.4,79.28,58.2,0.269,10.1,23.5,34.2,27.0,36353.0,21812.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,38.2,0.403,61.7,50.8,31.2,25.1,43384.0,26030.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,35.4,0.496,102.7,64.7,30.3,9.2,41936.0,28586.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,81.9,0.261,19.7,27.5,27.1,8.2,44252.0,38424.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,81.5,0.253,6.1,11.9,38.1,5.0,36902.0,33964.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,77.2,0.24,1.9,17.8,27.2,6.3,38519.0,34654.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,59.1,0.415,91.3,57.5,26.6,12.1,41249.0,26619.0,HIGH
ZONE-F (Mansar),21.4,79.28,66.2,0.324,53.3,43.6,37.2,7.1,36557.0,32424.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,36.0,0.351,43.3,39.5,32.0,10.8,43491.0,35992.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,75.5,0.234,8.8,21.5,27.4,6.8,38518.0,34328.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,69.9,0.347,48.9,45.4,33.1,8.0,37452.0,32649.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,57.0,0.282,8.2,14.2,34.8,10.8,37130.0,30699.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,55.9,0.251,2.0,14.0,37.2,9.7,43975.0,37177.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,67.2,0.302,13.1,29.0,38.6,16.2,36408.0,26944.0,HIGH
ZONE-F (Mansar),21.4,79.28,73.1,0.311,26.8,32.5,27.9,0.5,40564.0,40257.0,LOW
ZONE-C (Balaghat Pit 4),21.8,80.18,34.7,0.534,147.4,83.5,33.1,31.2,41804.0,20066.0,HIGH
ZONE-E (Kandri),21.42,79.27,44.0,0.27,19.7,37.3,27.6,9.8,40239.0,33908.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,38.9,0.559,168.8,95.0,38.2,7.9,38919.0,27204.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,60.5,0.374,77.1,56.5,26.3,10.2,41950.0,35109.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,65.6,0.299,8.6,25.5,26.7,16.1,44360.0,32939.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,87.4,0.262,21.9,21.4,34.8,38.2,44688.0,26813.0,HIGH
ZONE-E (Kandri),21.42,79.27,57.8,0.33,57.4,40.8,26.4,16.1,37147.0,27607.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,70.6,0.392,87.2,59.9,37.4,10.7,44102.0,29251.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,81.0,0.287,12.9,26.8,35.3,25.4,44319.0,26591.0,HIGH
ZONE-E (Kandri),21.42,79.27,55.2,0.313,35.2,36.4,37.7,13.4,39085.0,30698.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,75.3,0.428,90.3,68.4,31.1,4.4,44021.0,32761.0,HIGH
ZONE-E (Kandri),21.42,79.27,52.5,0.314,43.6,34.4,26.2,26.3,41092.0,24655.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,69.5,0.342,28.2,30.9,36.7,9.5,36729.0,31138.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,68.8,0.294,20.6,33.5,41.9,27.9,38752.0,23251.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,77.9,0.329,23.5,31.7,37.1,28.9,37076.0,22246.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,78.7,0.345,42.2,41.1,34.0,20.8,36231.0,24201.0,HIGH
ZONE-F (Mansar),21.4,79.28,59.7,0.275,12.9,31.6,29.7,15.6,38540.0,28900.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,39.1,0.309,11.4,27.8,39.3,12.8,36433.0,28978.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,56.1,0.352,60.0,47.0,37.0,6.9,44081.0,39203.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,40.7,0.283,5.1,26.3,31.4,13.4,44317.0,34802.0,HIGH
ZONE-E (Kandri),21.42,79.27,48.2,0.389,50.9,38.8,36.8,30.1,39711.0,23826.0,HIGH
ZONE-F (Mansar),21.4,79.28,64.0,0.337,28.0,30.0,35.3,24.9,36691.0,22085.0,HIGH
ZONE-F (Mansar),21.4,79.28,60.8,0.242,6.2,14.5,32.4,2.7,39978.0,38238.0,LOW
ZONE-D (Gumgaon),21.38,79.03,70.7,0.25,17.7,18.9,37.7,10.6,38362.0,31886.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,52.6,0.28,4.1,20.2,28.6,11.3,42284.0,34644.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,69.0,0.314,28.1,36.6,35.2,25.4,36714.0,22028.0,HIGH
